"year","Historical population","High fertility scenario","Medium fertility scenario","Low fertility scenario"
1980,9.8705,NA,NA,NA
1981,10.0072,NA,NA,NA
1982,10.1654,NA,NA,NA
1983,10.3008,NA,NA,NA
1984,10.4357,NA,NA,NA
1985,10.5851,NA,NA,NA
1986,10.7507,NA,NA,NA
1987,10.93,NA,NA,NA
1988,11.1026,NA,NA,NA
1989,11.2704,NA,NA,NA
1990,11.4333,NA,NA,NA
1991,11.5823,NA,NA,NA
1992,11.7171,NA,NA,NA
1993,11.8517,NA,NA,NA
1994,11.985,NA,NA,NA
1995,12.1121,NA,NA,NA
1996,12.2389,NA,NA,NA
1997,12.3626,NA,NA,NA
1998,12.4761,NA,NA,NA
1999,12.5786,NA,NA,NA
2000,12.6743,NA,NA,NA
2001,12.7627,NA,NA,NA
2002,12.8453,NA,NA,NA
2003,12.9227,NA,NA,NA
2004,12.9988,NA,NA,NA
2005,13.0756,NA,NA,NA
2006,13.1448,NA,NA,NA
2007,13.2129,NA,NA,NA
2008,13.2802,NA,NA,NA
2009,13.345,NA,NA,NA
2010,13.4091,NA,NA,NA
2011,13.4916,NA,NA,NA
2012,13.5922,NA,NA,NA
2013,13.6726,NA,NA,NA
2014,13.7646,NA,NA,NA
2015,13.8326,NA,NA,NA
2016,13.9232,NA,NA,NA
2017,14.0011,NA,NA,NA
2018,14.0541,NA,NA,NA
2019,14.1008,NA,NA,NA
2020,14.1212,NA,NA,NA
2021,14.126,NA,NA,NA
2022,14.1175,NA,NA,NA
2023,14.0967,NA,NA,NA
2024,NA,14.0967,14.0967,14.0967
2025,NA,14.0967,14.0967,14.0967
2026,NA,14.0966,14.0965,14.0965
2027,NA,14.0962,14.0961,14.096
2028,NA,14.0955,14.0953,14.0951
2029,NA,14.0944,14.094,14.0936
2030,NA,14.0927,14.092,14.0913
2031,NA,14.0903,14.0893,14.0882
2032,NA,14.0871,14.0856,14.084
2033,NA,14.0831,14.0809,14.0786
2034,NA,14.078,14.0751,14.0719
2035,NA,14.0718,14.0679,14.0637
2036,NA,14.0644,14.0593,14.0538
2037,NA,14.0557,14.0492,14.0422
2038,NA,14.0455,14.0373,14.0286
2039,NA,14.0337,14.0237,14.0129
2040,NA,14.0202,14.0081,13.995
2041,NA,14.005,13.9904,13.9747
2042,NA,13.9878,13.9705,13.9519
2043,NA,13.9686,13.9483,13.9264
2044,NA,13.9473,13.9236,13.8981
2045,NA,13.9238,13.8963,13.8668
2046,NA,13.8979,13.8663,13.8324
2047,NA,13.8695,13.8335,13.7947
2048,NA,13.8386,13.7976,13.7535
2049,NA,13.8049,13.7587,13.7088
2050,NA,13.7685,13.7165,13.6604
2051,NA,13.7292,13.6709,13.6081
2052,NA,13.6868,13.6218,13.5518
2053,NA,13.6413,13.5691,13.4913
2054,NA,13.5925,13.5126,13.4265
2055,NA,13.5404,13.4522,13.3572
2056,NA,13.4848,13.3878,13.2833
2057,NA,13.4257,13.3192,13.2046
2058,NA,13.3628,13.2464,13.1211
2059,NA,13.2961,13.1692,13.0324
2060,NA,13.2255,13.0874,12.9386
